Major Name,Major URL
"Gender, Sexuality & Women's Studies",https://ucdavis.pubs.curricunet.com/Preview/9/gender-sexuality-womens-studies
Genetics & Genomics,https://ucdavis.pubs.curricunet.com/Preview/9/genetics-genomics
Geography,https://ucdavis.pubs.curricunet.com/Preview/9/geo
Geology,https://ucdavis.pubs.curricunet.com/Preview/9/gel
German,https://ucdavis.pubs.curricunet.com/Preview/9/ger
Global Disease Biology,https://ucdavis.pubs.curricunet.com/Preview/9/gdb
Health Informatics,https://ucdavis.pubs.curricunet.com/Preview/9/mhi
History,https://ucdavis.pubs.curricunet.com/Preview/9/his
Horticulture & Agronomy,https://ucdavis.pubs.curricunet.com/Preview/9/horticulture-agronomy-graduate-group
Human Development,https://ucdavis.curricunet.com/Form/Program/Index/{host}/{controller}/{action}/{catalogId}/595
Human Development,https://ucdavis.pubs.curricunet.com/Preview/9/human-development-graduate-group
Hydrologic Sciences,https://ucdavis.pubs.curricunet.com/Preview/9/hydrologic-sciences-graduate-group
Hydrology,https://ucdavis.pubs.curricunet.com/Preview/9/hyd
Immunology,https://ucdavis.pubs.curricunet.com/Preview/9/imm
Individual Major,https://ucdavis.pubs.curricunet.com/Preview/9/individual-major
Integrative Genetics & Genomics,https://ucdavis.pubs.curricunet.com/Preview/9/ggg
Integrative Pathobiology,https://ucdavis.pubs.curricunet.com/Preview/9/integrative-pathobiology
International Agricultural Development,{host}/{controller}/{action}/{catalogId}/6839
International Agricultural Development,https://ucdavis.pubs.curricunet.com/Preview/9/international-agricultural-development-graduate-group
International Relations,https://ucdavis.pubs.curricunet.com/Preview/9/ire
Italian,https://ucdavis.pubs.curricunet.com/Preview/9/ita
Japanese,https://ucdavis.pubs.curricunet.com/Preview/9/jpn
Landscape Architecture,https://ucdavis.pubs.curricunet.com/Preview/9/lda
Law,https://ucdavis.pubs.curricunet.com/Preview/9/law
Linguistics,{host}/{controller}/{action}/{catalogId}/715
Managerial Economics,https://ucdavis.pubs.curricunet.com/Preview/9/managerial-economics
Marine & Coastal Science,https://ucdavis.pubs.curricunet.com/Preview/9/marine-coastal-science
